"V_ps_1","Vd_1","Id_1","V_ps_2","Vd_2","Id_2"
0,0,0,0,0,0
0.2,0.2,0,0.5,0.5,0
0.4,0.4,0,1,1,0
0.6,0.6,0,1.5,1.5,0
0.8,0.69,0.5,2,2,0
1,0.71,1.4,2.5,2.5,0
1.2,0.73,2.5,3,2.99,0
1.4,0.74,3.5,3.5,3.46,0.2
1.6,0.74,4.5,4,3.88,0.6
1.8,0.75,5.6,4.5,4.21,1.5
2,0.75,6.7,5,4.42,3.1
2.2,0.76,7.7,5.5,4.55,5.1
2.4,0.76,8.8,6,4.63,7.4
2.6,0.76,9.9,6.5,4.68,9.8
2.8,0.77,10.9,7,4.71,12.4
3,0.77,12,7.5,4.74,14.9
3.2,0.77,13.1,8,4.76,17.6
3.4,0.77,14.2,8.5,4.77,20.2
3.6,0.78,15.2,9,4.76,22.9
3.8,0.78,16.3,9.5,4.8,26.1
4,0.78,17.4,10,4.81,28.2
4.2,0.78,18.5,10.5,4.82,30.9
4.4,0.78,19.6,11,4.83,33.6
4.6,0.78,20.6,11.5,4.83,36.4
4.8,0.78,21.7,12,4.84,39.1
5,0.79,22.8,12.5,4.85,41.8
,,,13,4.86,44.6
"Determine the turn-on voltage of the diode.",,,13.5,4.86,47.4
,,,14,4.87,50.2
,,,14.5,4.88,53.5
,,,15,4.88,55.8
,,,15.5,4.89,58.6
,,,16,4.89,61.5
,,,16.5,4.9,64.3
,,,17,4.9,67.3
,,,17.5,4.91,70.1
,,,18,4.92,73.1
,,,18.5,4.92,76
,,,19,4.93,79.1
,,,19.5,4.93,82
,,,20,4.94,85.5
,,,20.5,4.94,88
,,,21,4.95,91
,,,21.5,4.96,94
,,,22,4.96,97
,,,22.5,4.97,100.2
,,,23,4.97,103.3
,,,23.5,4.98,106.3
,,,24,4.98,109.5
,,,24.5,4.99,112.6
,,,25,4.99,115.8
