v_bb,v_cc,v_ce,v_be
0,0,0,0
0,0.25,0.25,0
0,0.5,0.5,0
0,0.75,0.75,0
0,1,1,0
0,1.25,1.25,0
0,1.5,1.5,0
0,1.75,1.75,0
0,2,2,0
0,3,3,0
0,4,4,0
0,5,5,0
0,6,6,0
0,7,7,0
0,8,8,0
0,9,9,0
0,10,10,0
0.5,0,0,0.456
0.5,0.25,0.24,0.488
0.5,0.5,0.49,0.488
0.5,0.75,0.75,0.488
0.5,1,1,0.488
0.5,1.25,1.25,0.488
0.5,1.5,1.5,0.488
0.5,1.75,1.75,0.488
0.5,2,2,0.488
0.5,3,3,0.488
0.5,4,4,0.488
0.5,5,5,0.488
0.5,6,6,0.488
0.5,7,7,0.488
0.5,8,8,0.488
0.5,9,9,0.488
0.5,10,10,0.488
1,0,0,0
1,0.25,0.072,0.585
1,0.5,0.101,0.606
1,0.75,0.124,0.617
1,1,0.151,0.625
1,1.25,0.205,0.63
1,1.5,0.352,0.591
1,1.75,0.483,0.556
1,2,0.57,0.485
1,3,1.38,0.443
1,4,2.25,0.476
1,5,3.36,0.44
1,6,3.98,0.421
1,7,4.72,0.403
1,8,5.34,0.34
1,9,5.86,0.372
1,10,6.74,0.354
1.5,0,0,0.546
1.5,0.25,0.04,0.592
1.5,0.5,0.006,0.609
1.5,0.75,0.008,0.62
1.5,1,0.09,0.627
1.5,1.25,0.1,0.633
1.5,1.5,0.12,0.638
1.5,1.75,0.131,0.642
1.5,2,0.143,0.645
1.5,3,0.36,0.593
1.5,4,1.15,0.564
1.5,5,1.89,0.516
1.5,6,2.62,0.485
1.5,7,3.35,0.46
1.5,8,4.08,0.488
1.5,9,4.8,0.43
1.5,10,5.52,0.42
2,0,0,0.557
2,0.25,0.003,0.595
2,0.5,0.05,0.611
2,0.75,0.06,0.622
2,1,0.07,0.629
2,1.25,0.08,0.634
2,1.5,0.09,0.639
2,1.75,0.1,0.643
2,2,0.1,0.647
2,3,0.13,0.658
2,4,0.19,0.664
2,5,0.84,0.581
2,6,1.33,0.471
2,7,1.83,0.402
2,8,2.36,0.356
2,9,2.86,0.327
2,10,3.38,0.302
2.5,0,0,0.567
2.5,0.25,0.03,0.599
2.5,0.5,0.05,0.614
2.5,0.75,0.06,0.623
2.5,1,0.07,0.63
2.5,1.25,0.07,0.636
2.5,1.5,0.08,0.64
2.5,1.75,0.08,0.644
2.5,2,0.09,0.648
2.5,3,0.11,0.658
2.5,4,0.13,0.666
2.5,5,0.16,0.671
2.5,6,0.47,0.632
2.5,7,1.08,0.478
2.5,8,1.42,0.379
2.5,9,1.78,0.311
2.5,10,2.15,0.241
3,0,0,0.573
3,0.25,0.02,0.601
3,0.5,0.04,0.615
3,0.75,0.05,0.624
3,1,0.06,0.631
3,1.25,0.06,0.636
3,1.5,0.07,0.641
3,1.75,0.08,0.645
3,2,0.08,0.648
3,3,0.1,0.66
3,4,0.11,0.667
3,5,0.13,0.673
3,6,0.16,0.677
3,7,0.23,0.68
3,8,0.96,0.479
3,9,1.15,0.332
3,10,1.31,0.215
