  Time                 , V(C7:1)              
  0.000000000000e+000  ,0.000000000000e+000  
  1.000000000000e-008  ,1.756102285810e-008  
  2.000000000000e-008  ,1.756022527388e-008  
  4.000033855438e-008  ,1.193845644565e-008  
  8.000101566315e-008  ,1.069632560302e-008  
  1.600023698807e-007  ,1.238278279914e-008  
  3.200050783157e-007  ,2.187830272504e-008  
  6.400104951859e-007  ,8.589623945454e-008  
  1.280021328926e-006  ,3.972739666125e-007  
  2.280044217110e-006  ,1.392600267991e-006  
  3.280067105293e-006  ,2.940906598248e-006  
  4.280089993477e-006  ,5.059858303014e-006  
  5.280112881660e-006  ,7.736318178964e-006  
  6.280135769844e-006  ,1.092631696142e-005  
  7.280158658028e-006  ,1.463985653594e-005  
  8.280181546211e-006  ,1.888741321654e-005  
  9.280204434395e-006  ,2.368848218293e-005  
  1.028022732258e-005  ,2.906747718345e-005  
  1.128025021076e-005  ,3.502792399512e-005  
  1.228027309895e-005  ,4.154246111465e-005  
  1.328029598713e-005  ,4.854111787367e-005  
  1.428031887531e-005  ,5.610225202179e-005  
  1.528034176350e-005  ,7.007083180532e-005  
  1.628036465168e-005  ,8.224942000989e-005  
  1.728038753986e-005  ,9.165066915795e-005  
  1.828041042805e-005  ,1.015925819194e-004  
  1.928043331623e-005  ,1.120392197000e-004  
  2.028045620441e-005  ,1.230673273902e-004  
  2.128047909260e-005  ,1.346759030181e-004  
  2.228050198078e-005  ,1.439272741530e-004  
  2.328052486897e-005  ,1.638826152321e-004  
  2.428054775715e-005  ,1.793044832779e-004  
  2.528057064533e-005  ,1.927527110235e-004  
  2.628059353352e-005  ,2.067630667337e-004  
  2.728061642170e-005  ,2.213393612358e-004  
  2.828063930988e-005  ,2.289827599053e-004  
  2.928066219807e-005  ,2.609040555033e-004  
  3.028068508625e-005  ,2.740206131913e-004  
  3.128070797443e-005  ,2.883380724752e-004  
  3.228073086262e-005  ,3.047252714605e-004  
  3.328075375080e-005  ,3.228059867348e-004  
  3.428077663898e-005  ,3.403935734481e-004  
  3.528079952717e-005  ,3.721551573141e-004  
  3.628082241535e-005  ,3.944993696985e-004  
  3.728084530354e-005  ,4.186584433254e-004  
  3.828086819172e-005  ,4.393976098607e-004  
  3.928089107990e-005  ,4.606362166157e-004  
  4.028091396809e-005  ,4.775457217763e-004  
  4.128093685627e-005  ,5.128771671146e-004  
  4.228095974445e-005  ,5.344627138832e-004  
  4.328098263264e-005  ,5.578259912502e-004  
  4.428100552082e-005  ,5.817134838360e-004  
  4.528102840900e-005  ,6.008907229091e-004  
  4.628105129719e-005  ,6.402179707390e-004  
  4.728107418537e-005  ,6.616766192700e-004  
  4.828109707356e-005  ,6.876383390946e-004  
  4.928111996174e-005  ,7.141293342130e-004  
  5.028114284992e-005  ,7.352265013196e-004  
  5.128116573811e-005  ,7.784791468595e-004  
  5.228118862629e-005  ,8.049968285935e-004  
  5.328121151447e-005  ,8.334919922577e-004  
  5.428123440266e-005  ,8.568641429223e-004  
  5.528125729084e-005  ,8.992385628650e-004  
  5.628128017902e-005  ,9.276481157316e-004  
  5.728130306721e-005  ,9.615569361152e-004  
  5.828132595539e-005  ,9.949531671190e-004  
  5.928134884357e-005  ,1.026508926182e-003  
  6.028137173176e-005  ,1.073035422834e-003  
  6.128139461994e-005  ,1.104310555811e-003  
  6.228141750813e-005  ,1.129606932017e-003  
  6.328144039631e-005  ,1.165020841704e-003  
  6.428146328449e-005  ,1.203411401615e-003  
  6.528148617268e-005  ,1.241860424209e-003  
  6.628150906086e-005  ,1.279457940215e-003  
  6.728153194904e-005  ,1.324069097846e-003  
  6.828155483723e-005  ,1.361183229547e-003  
  6.928157772541e-005  ,1.395184591964e-003  
  7.028160061359e-005  ,1.443440213504e-003  
  7.128162350178e-005  ,1.487399816008e-003  
  7.228164638996e-005  ,1.524658161089e-003  
  7.328166927814e-005  ,1.560921147799e-003  
  7.428169216633e-005  ,1.605853018746e-003  
  7.528171505451e-005  ,1.650992905819e-003  
  7.628173794270e-005  ,1.680883595257e-003  
  7.728176083088e-005  ,1.732240004676e-003  
  7.828178371906e-005  ,1.778930171058e-003  
  7.928180660725e-005  ,1.825475298562e-003  
  8.028182949543e-005  ,1.867436102728e-003  
  8.128185238361e-005  ,1.908446780991e-003  
  8.228187527180e-005  ,1.960449819980e-003  
  8.328189815998e-005  ,2.006242668375e-003  
  8.428192104816e-005  ,2.049207944683e-003  
  8.528194393635e-005  ,2.093639247938e-003  
  8.628196682453e-005  ,2.141520274106e-003  
  8.728198971272e-005  ,2.202434360158e-003  
  8.828201260090e-005  ,2.247136934818e-003  
  8.928203548908e-005  ,2.294241316723e-003  
  9.028205837727e-005  ,2.350434635697e-003  
  9.128208126545e-005  ,2.400109049318e-003  
  9.228210415363e-005  ,2.446637194518e-003  
  9.328212704182e-005  ,2.480595093831e-003  
  9.428214993000e-005  ,2.549013912851e-003  
  9.528217281818e-005  ,2.603528106320e-003  
  9.628219570637e-005  ,2.652867173691e-003  
  9.728221859455e-005  ,2.698928881107e-003  
  9.828224148273e-005  ,2.765500841028e-003  
  9.928226437092e-005  ,2.816516323096e-003  
  1.002822872591e-004  ,2.867646244446e-003  
  1.012823101473e-004  ,2.915054893241e-003  
  1.022823330355e-004  ,2.984446142185e-003  
  1.032823559237e-004  ,3.037112409168e-003  
  1.042823788118e-004  ,3.090001365212e-003  
  1.052824017000e-004  ,3.141179541286e-003  
  1.062824245882e-004  ,3.217721050831e-003  
