"t","v"
0,0
0.00000001,1.75610228581E-08
0.00000002,1.756022527388E-08
0.00000004,1.193845644565E-08
0.00000008,1.069632560302E-08
0.00000016,1.238278279914E-08
0.00000032,2.187830272504E-08
0.00000064,8.589623945454E-08
0.00000128,3.972739666125E-07
0.00000228,1.392600267991E-06
3.280067105293E-06,2.940906598248E-06
4.280089993477E-06,5.059858303014E-06
5.28011288166E-06,7.736318178964E-06
6.280135769844E-06,1.092631696142E-05
7.280158658028E-06,1.463985653594E-05
8.280181546211E-06,1.888741321654E-05
9.280204434395E-06,2.368848218293E-05
1.028022732258E-05,2.906747718345E-05
1.128025021076E-05,3.502792399512E-05
1.228027309895E-05,4.154246111465E-05
1.328029598713E-05,4.854111787367E-05
1.428031887531E-05,5.610225202179E-05
1.52803417635E-05,7.007083180532E-05
1.628036465168E-05,8.224942000989E-05
1.728038753986E-05,9.165066915795E-05
1.828041042805E-05,0.0001015926
1.928043331623E-05,0.0001120392
2.028045620441E-05,0.0001230673
2.12804790926E-05,0.0001346759
2.228050198078E-05,0.0001439273
2.328052486897E-05,0.0001638826
2.428054775715E-05,0.0001793045
2.528057064533E-05,0.0001927527
2.628059353352E-05,0.0002067631
2.72806164217E-05,0.0002213394
2.828063930988E-05,0.0002289828
2.928066219807E-05,0.0002609041
3.028068508625E-05,0.0002740206
3.128070797443E-05,0.0002883381
3.228073086262E-05,0.0003047253
3.32807537508E-05,0.000322806
3.428077663898E-05,0.0003403936
3.528079952717E-05,0.0003721552
3.628082241535E-05,0.0003944994
3.728084530354E-05,0.0004186584
3.828086819172E-05,0.0004393976
3.92808910799E-05,0.0004606362
4.028091396809E-05,0.0004775457
4.128093685627E-05,0.0005128772
0.000042281,0.0005344627
0.000043281,0.000557826
0.000044281,0.0005817135
0.000045281,0.0006008907
4.628105129719E-05,0.000640218
4.728107418537E-05,0.0006616766
4.828109707356E-05,0.0006876383
4.928111996174E-05,0.0007141293
5.028114284992E-05,0.0007352265
5.128116573811E-05,0.0007784791
5.228118862629E-05,0.0008049968
5.328121151447E-05,0.000833492
5.428123440266E-05,0.0008568641
5.528125729084E-05,0.0008992386
5.628128017902E-05,0.0009276481
5.728130306721E-05,0.0009615569
5.828132595539E-05,0.0009949532
5.928134884357E-05,0.0010265089
6.028137173176E-05,0.0010730354
6.128139461994E-05,0.0011043106
6.228141750813E-05,0.0011296069
6.328144039631E-05,0.0011650208
6.428146328449E-05,0.0012034114
6.528148617268E-05,0.0012418604
6.628150906086E-05,0.0012794579
6.728153194904E-05,0.0013240691
6.828155483723E-05,0.0013611832
6.928157772541E-05,0.0013951846
7.028160061359E-05,0.0014434402
7.128162350178E-05,0.0014873998
7.228164638996E-05,0.0015246582
7.328166927814E-05,0.0015609211
7.428169216633E-05,0.001605853
7.528171505451E-05,0.0016509929
7.62817379427E-05,0.0016808836
7.728176083088E-05,0.00173224
7.828178371906E-05,0.0017789302
7.928180660725E-05,0.0018254753
8.028182949543E-05,0.0018674361
8.128185238361E-05,0.0019084468
8.22818752718E-05,0.0019604498
8.328189815998E-05,0.0020062427
8.428192104816E-05,0.0020492079
8.528194393635E-05,0.0020936392
0.000086282,0.0021415203
0.000087282,0.0022024344
0.000088282,0.0022471369
0.000089282,0.0022942413
9.028205837727E-05,0.0023504346
9.128208126545E-05,0.002400109
9.228210415363E-05,0.0024466372
9.328212704182E-05,0.0024805951
9.428214993E-05,0.0025490139
9.528217281818E-05,0.0026035281
9.628219570637E-05,0.0026528672
9.728221859455E-05,0.0026989289
9.828224148273E-05,0.0027655008
9.928226437092E-05,0.0028165163
0.0001002823,0.0028676462
0.0001012823,0.0029150549
0.0001022823,0.0029844461
0.0001032824,0.0030371124
0.0001042824,0.0030900014
0.0001052824,0.0031411795
0.0001062824,0.0032177211
0.0001072824,0.003272174
0.0001082825,0.0033267809
0.0001092825,0.0033781315
0.0001102825,0.0034512415
0.0001112825,0.0035067908
0.0001122826,0.0035632024
0.0001132826,0.0036153792
0.0001142826,0.0036916382
0.0001152826,0.003749497
0.0001162827,0.0038066964
0.0001172827,0.0038743055
0.0001182827,0.0039384516
0.0001192827,0.0040023673
0.0001202827,0.0040655553
0.0001212828,0.0041291737
0.0001222828,0.0041925307
0.0001232828,0.0042549216
0.0001242828,0.0043291997
0.0001252829,0.0043950165
0.0001262829,0.0044682038
0.0001272829,0.0045369214
0.0001282829,0.0045986197
0.000129283,0.0046668454
0.000130283,0.004728078
0.000131283,0.0048041791
0.000132283,0.004876929
0.000133283,0.0049456807
0.0001342831,0.0050148038
0.0001352831,0.0050842565
0.0001362831,0.0051452115
0.0001372831,0.005230164
0.0001382832,0.0053063671
0.0001392832,0.0053682602
0.0001402832,0.0054450078
0.0001412832,0.0055173583
0.0001422832,0.0055901193
0.0001432833,0.0056627804
0.0001442833,0.0057385419
0.0001452833,0.0058162089
0.0001462833,0.0058935127
0.0001472834,0.0059691692
0.0001482834,0.0060515202
0.0001492834,0.0061291893
0.0001502834,0.0061889608
0.0001512835,0.0062780476
0.0001522835,0.0063587926
0.0001532835,0.0064361784
0.0001542835,0.006512922
0.0001552835,0.0065904699
0.0001562836,0.0066609007
0.0001572836,0.0067490397
0.0001582836,0.0068311145
0.0001592836,0.006917105
0.0001602837,0.0070028482
0.0001612837,0.007071213
0.0001622837,0.0071545629
0.0001632837,0.0072412862
0.0001642838,0.0073242694
0.0001652838,0.0074060172
0.0001662838,0.0074873597
0.0001672838,0.0075697041
0.0001682838,0.007646208
0.0001692839,0.0077422248
0.0001702839,0.0078304008
0.0001712839,0.0079207182
