<Title: Feeling This, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Obvious, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: I Miss You, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Violence, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Stockholm Syndrome, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Down, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: The Fallen Interlude, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Go, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Asthenia, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Always, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Easy Target, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: All of This, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Here's Your Letter, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: I'm Lost Without You, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Ghost on the Dance Floor, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Natives, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Up All Night, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: After Midnight, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Snake Charmer, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Heart's All Gone - Interlude, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Heart's All Gone, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Wishing Well, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Kaleidoscope, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: This is Home, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: MH 4.18.2011, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Love Is Dangerous, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Fighting the Gravity, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Even If She Falls, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
