<Title: (Anesthesia) - Pulling Teeth, Artist: Metallica, Album: Kill 'Em All, Genre: Thrash Metal, Year: 1983>
<Title: ... And We're Just Changing, Artist: Real Friends, Album: Maybe This Place Is the Same and We're Just Changing, Genre: Pop punk, Year: 2014>
<Title: 88, Artist: Sum 41, Album: Chuck, Genre: Pop punk, Year: 2004>
<Title: A.N.I.C., Artist: Sum 41, Album: Does This Look Infected?, Genre: Pop punk, Year: 2002>
<Title: After Midnight, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Alexander Pl., Artist: Knuckle Puck, Album: While I Stay Secluded, Genre: Pop punk, Year: 2014>
<Title: All Messed Up, Artist: Sum 41, Album: Does This Look Infected?, Genre: Pop punk, Year: 2002>
<Title: All She's Got, Artist: Sum 41, Album: All Killer, No Filler, Genre: Pop punk, Year: 2001>
<Title: All Wrong, Artist: The Story So Far, Album: What You Don't See, Genre: Pop Punk, Year: 2013>
<Title: All of This, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: All on Black, Artist: Alkaline Trio, Album: Good Mourning, Genre: Punk rock, Year: 2003>
<Title: Always, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Angels with Dirty Faces, Artist: Sum 41, Album: Chuck, Genre: Pop punk, Year: 2004>
<Title: Another Innocent Girl, Artist: Alkaline Trio, Album: From Here to Infirmary, Genre: Punk rock, Year: 2000>
<Title: Armageddon, Artist: Alkaline Trio, Album: From Here to Infirmary, Genre: Punk rock, Year: 2000>
<Title: Ask Better Questions, Artist: Vending Machetes, Album: Vending Machetes, Genre: Alternative, Year: 2010>
<Title: Asthenia, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Back to Hell, Artist: Alkaline Trio, Album: Crimson, Genre: Punk rock, Year: 2005>
<Title: Bad Luck, Artist: The Story So Far, Album: What You Don't See, Genre: Pop Punk, Year: 2013>
<Title: Bedford Falls, Artist: Knuckle Puck, Album: While I Stay Secluded, Genre: Pop punk, Year: 2014>
<Title: Bike Scene, Artist: Taking Back Sunday, Album: Tell All Your Friends, Genre: Emo, Year: 2002>
<Title: Billy Spleen, Artist: Sum 41, Album: Does This Look Infected?, Genre: Pop punk, Year: 2002>
<Title: Bloodied Up, Artist: Alkaline Trio, Album: From Here to Infirmary, Genre: Punk rock, Year: 2000>
<Title: Blue Carolina, Artist: Alkaline Trio, Album: Good Mourning, Genre: Punk rock, Year: 2003>
<Title: Blue in the Face, Artist: Alkaline Trio, Album: Good Mourning, Genre: Punk rock, Year: 2003>
<Title: Burn, Artist: Alkaline Trio, Album: Crimson, Genre: Punk rock, Year: 2005>
<Title: But Why Would You Care?, Artist: Knuckle Puck, Album: While I Stay Secluded, Genre: Pop punk, Year: 2014>
<Title: By the Way, Artist: Red Hot Chili Peppers, Album: By the Way, Genre: Alternative, Year: 2002>
<Title: Cabron, Artist: Red Hot Chili Peppers, Album: By the Way, Genre: Alternative, Year: 2002>
<Title: Calling All Skeletons, Artist: Alkaline Trio, Album: Agony & Irony, Genre: Pop punk, Year: 2008>
<Title: Can't Stop, Artist: Red Hot Chili Peppers, Album: By the Way, Genre: Alternative, Year: 2002>
<Title: Cinematic Tragedies, Artist: Vending Machetes, Album: Vending Machetes, Genre: Alternative, Year: 2010>
<Title: Closure, Artist: The Story So Far, Album: Under Soil and Dirt, Genre: Pop Punk, Year: 2011>
<Title: Continental, Artist: Alkaline Trio, Album: Good Mourning, Genre: Punk rock, Year: 2003>
<Title: Cover You Up, Artist: Real Friends, Album: Maybe This Place Is the Same and We're Just Changing, Genre: Pop punk, Year: 2014>
<Title: Crawl, Artist: Alkaline Trio, Album: From Here to Infirmary, Genre: Punk rock, Year: 2000>
<Title: Crazy Amanda Bunkface, Artist: Sum 41, Album: All Killer, No Filler, Genre: Pop punk, Year: 2001>
<Title: Creeping Death, Artist: Metallica, Album: Ride the Lightning, Genre: Thrash Metal, Year: 1984>
<Title: Cute Without the 'E' (Cut from the Team), Artist: Taking Back Sunday, Album: Tell All Your Friends, Genre: Emo, Year: 2002>
<Title: Daisy Chain, Artist: Vending Machetes, Album: Good Grief, Genre: Alternative, Year: 2012>
<Title: Daughters, Artist: The Story So Far, Album: Under Soil and Dirt, Genre: Pop Punk, Year: 2011>
<Title: Dead, Artist: Real Friends, Album: Put Yourself Back Together, Genre: Pop punk, Year: 2013>
<Title: Dead Giveaway, Artist: Vending Machetes, Album: Good Grief, Genre: Alternative, Year: 2012>
<Title: Dethbed, Artist: Alkaline Trio, Album: Crimson, Genre: Punk rock, Year: 2005>
<Title: Dirty Water, Artist: Real Friends, Album: Put Yourself Back Together, Genre: Pop punk, Year: 2013>
<Title: Disdain, Artist: Knuckle Puck, Album: Copacetic, Genre: Emo, Year: 2015>
<Title: Distaste, Artist: The Story So Far, Album: The Story So Far, Genre: Pop Punk, Year: 2015>
<Title: Do You Wanna Know?, Artist: Alkaline Trio, Album: Agony & Irony, Genre: Pop punk, Year: 2008>
<Title: Don't Forget Me, Artist: Red Hot Chili Peppers, Album: By the Way, Genre: Alternative, Year: 2002>
<Title: Donner Party (All Night), Artist: Alkaline Trio, Album: Good Mourning, Genre: Punk rock, Year: 2003>
<Title: Dosed, Artist: Red Hot Chili Peppers, Album: By the Way, Genre: Alternative, Year: 2002>
<Title: Down, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Dredge, Artist: Vending Machetes, Album: Good Grief, Genre: Alternative, Year: 2012>
<Title: Easy Target, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Emma, Artist: Alkaline Trio, Album: Good Mourning, Genre: Punk rock, Year: 2003>
<Title: Empty Space, Artist: The Story So Far, Album: What You Don't See, Genre: Pop Punk, Year: 2013>
<Title: Escape, Artist: Metallica, Album: Ride the Lightning, Genre: Thrash Metal, Year: 1984>
<Title: Even If She Falls, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Evergreen, Artist: Knuckle Puck, Album: Copacetic, Genre: Emo, Year: 2015>
<Title: Every Thug Needs a Lady, Artist: Alkaline Trio, Album: Good Mourning, Genre: Punk rock, Year: 2003>
<Title: Everything Must Go, Artist: Knuckle Puck, Album: The Weight That You Buried, Genre: Pop punk, Year: 2013>
<Title: Face Value, Artist: The Story So Far, Album: What You Don't See, Genre: Pop Punk, Year: 2013>
<Title: Fade to Black, Artist: Metallica, Album: Ride the Lightning, Genre: Thrash Metal, Year: 1984>
<Title: Fall Victim, Artist: Alkaline Trio, Album: Crimson, Genre: Punk rock, Year: 2005>
<Title: Fat Lip, Artist: Sum 41, Album: All Killer, No Filler, Genre: Pop punk, Year: 2001>
<Title: Fatally Yours, Artist: Alkaline Trio, Album: Good Mourning, Genre: Punk rock, Year: 2003>
<Title: Feeling This, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Fight Fire with Fire, Artist: Metallica, Album: Ride the Lightning, Genre: Thrash Metal, Year: 1984>
<Title: Fighting the Gravity, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: For Whom the Bell Tolls, Artist: Metallica, Album: Ride the Lightning, Genre: Thrash Metal, Year: 1984>
<Title: Four Years, Artist: The Story So Far, Album: Under Soil and Dirt, Genre: Pop Punk, Year: 2011>
<Title: Framework, Artist: The Story So Far, Album: What You Don't See, Genre: Pop Punk, Year: 2013>
<Title: Ghost Man on Third, Artist: Taking Back Sunday, Album: Tell All Your Friends, Genre: Emo, Year: 2002>
<Title: Ghost on the Dance Floor, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Go, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Great Romances of the 20th Century, Artist: Taking Back Sunday, Album: Tell All Your Friends, Genre: Emo, Year: 2002>
<Title: Handle This, Artist: Sum 41, Album: All Killer, No Filler, Genre: Pop punk, Year: 2001>
<Title: Head Club, Artist: Taking Back Sunday, Album: Tell All Your Friends, Genre: Emo, Year: 2002>
<Title: Heart Attack, Artist: Sum 41, Album: All Killer, No Filler, Genre: Pop punk, Year: 2001>
<Title: Heart's All Gone, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Heart's All Gone - Interlude, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Heavy Gloom, Artist: The Story So Far, Album: The Story So Far, Genre: Pop Punk, Year: 2015>
<Title: Help Me, Artist: Alkaline Trio, Album: Agony & Irony, Genre: Pop punk, Year: 2008>
<Title: Here's Your Letter, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: High Regard, Artist: The Story So Far, Album: Under Soil and Dirt, Genre: Pop Punk, Year: 2011>
<Title: Hindu Cows, Artist: Vending Machetes, Album: Good Grief, Genre: Alternative, Year: 2012>
<Title: Hit the Lights, Artist: Metallica, Album: Kill 'Em All, Genre: Thrash Metal, Year: 1983>
<Title: Hooch, Artist: Sum 41, Album: Does This Look Infected?, Genre: Pop punk, Year: 2002>
<Title: How You Are, Artist: The Story So Far, Album: The Story So Far, Genre: Pop Punk, Year: 2015>
<Title: Hyper-Insomnia-Para-Condroid, Artist: Sum 41, Album: Does This Look Infected?, Genre: Pop punk, Year: 2002>
<Title: I Could Die for You, Artist: Red Hot Chili Peppers, Album: By the Way, Genre: Alternative, Year: 2002>
<Title: I Don't Love You Anymore, Artist: Real Friends, Album: Maybe This Place Is the Same and We're Just Changing, Genre: Pop punk, Year: 2014>
<Title: I Found Away, Artist: Alkaline Trio, Album: Agony & Irony, Genre: Pop punk, Year: 2008>
<Title: I Miss You, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: I Think I'm Moving Forward, Artist: Real Friends, Album: Maybe This Place Is the Same and We're Just Changing, Genre: Pop punk, Year: 2014>
<Title: I Was a Prayer, Artist: Alkaline Trio, Album: Crimson, Genre: Punk rock, Year: 2005>
<Title: I'm Dying Tomorrow, Artist: Alkaline Trio, Album: From Here to Infirmary, Genre: Punk rock, Year: 2000>
<Title: I'm Lost Without You, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: I'm Not the One, Artist: Sum 41, Album: Chuck, Genre: Pop punk, Year: 2004>
<Title: I've Given Up On You, Artist: Real Friends, Album: Put Yourself Back Together, Genre: Pop punk, Year: 2013>
<Title: If We Never Go Inside, Artist: Alkaline Trio, Album: Good Mourning, Genre: Punk rock, Year: 2003>
<Title: In My Room, Artist: Knuckle Puck, Album: While I Stay Secluded, Genre: Pop punk, Year: 2014>
<Title: In Too Deep, Artist: Sum 41, Album: All Killer, No Filler, Genre: Pop punk, Year: 2001>
<Title: In Vein, Artist: Alkaline Trio, Album: Agony & Irony, Genre: Pop punk, Year: 2008>
